conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.89E+18,Sun Feb 23 06:54:04 +0000 2025,0,Viral Ceramah UAS: Tugas Negara Bukan Ngasih Makan Anak tapi Ngasih Kerja kepada Bapaknya JAKARTA -- Belakangan viral potongan video ceramah Ustadz Abdul Somad (UAS) menyinggung program makan bergizi gratis (MBG) pemerintah. https://t.co/0qOzKCUh9l,1.89E+18,https://pbs.twimg.com/media/GkdCJVPXoAA0K9S.jpg,,in,,0,1,0,https://x.com/undefined/status/1893554903605219435,1.37E+18,
1.89E+18,Sun Feb 23 06:53:35 +0000 2025,14,makan siang bergizi ndak pakai gratis.... https://t.co/b1MsfMU5Xp,1.89E+18,https://pbs.twimg.com/media/GkdB9TlXYAAaM6v.jpg,,in,,0,7,2,https://x.com/undefined/status/1893554782524092839,7.56E+17,
1.89E+18,Sun Feb 23 06:42:39 +0000 2025,0,@PONXXIAcehSUMUT Evaluasi selektif dari Program MBG menghadirkan makan bergizi gratis yang lebih baik #MBGSelektifdanHigienis,1.89E+18,,PONXXIAcehSUMUT,in,,0,0,0,https://x.com/undefined/status/1893552030557655484,1.70E+18,
1.89E+18,Sun Feb 23 06:38:42 +0000 2025,13,@jackjackparrr Bentar lagi aktifis mahasiswa juga kayaknya bakal diundang makan bergizi gratis di istana.,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893551039191622065,1.83E+18,
1.89E+18,Sun Feb 23 06:36:33 +0000 2025,0,Babinsa Kembangbelor dampingi program Makan Bergizi Gratis untuk 4.752 siswa di Mojokerto. Dukung kesehatan pelajar dan masyarakat. Simak selengkapnya disini https://t.co/aSqo0lT4w4 https://t.co/4cmjmi07iO,1.89E+18,https://pbs.twimg.com/media/Gkc-JL5aQAAnxlJ.jpg,,in,,0,0,0,https://x.com/undefined/status/1893550498520907931,3193875739,
1.89E+18,Sun Feb 23 06:36:33 +0000 2025,0,Sejak wacana program Makan Bergizi Gratis (MBG) muncul saya selalu bilang kalau itu bukanlah solusi terbaik untuk pendidikan Indonesia. Karena yg jadi permasalahan utama itu adalah kualitas pendidikan (baik fasilitas sekolah tenaga pengajar dan juga administrasi) yg tak merata.,1.89E+18,,,in,,0,1,0,https://x.com/undefined/status/1893550495165452571,1.85E+18,
1.89E+18,Sun Feb 23 06:34:41 +0000 2025,0,Kodim Mojokerto rekrut 49 calon petugas UP SPPG untuk pemenuhan gizi masyarakat. Sinergi dalam program Makan Bergizi Gratis berjalan lancar. Simak selengkapnya disini https://t.co/d9juQXhSJg https://t.co/JGwmwRn023,1.89E+18,https://pbs.twimg.com/media/Gkc9t0vaMAA_ZQt.jpg,,in,,0,0,0,https://x.com/undefined/status/1893550028125544638,3193875739,
1.89E+18,Sun Feb 23 06:29:37 +0000 2025,0,Sementara makan bergizi gratis 10k ,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893548751685591272,1.16E+18,
1.89E+18,Sun Feb 23 06:28:06 +0000 2025,0,100 Hari Prabowo: Langkah Nyata untuk Indonesia Sehat &amp; Sejahtera! Dari Makan Bergizi Gratis hingga pemeriksaan kesehatan kabinet Merah Putih hadir untuk rakyat. #PrabowoGibran #KerjaNyataUntukBangsa https://t.co/cHxY5lHegr,1.89E+18,https://pbs.twimg.com/media/Gkc8NPDWoAIe5t-.jpg,,in,,0,0,0,https://x.com/undefined/status/1893548368959357332,1.57E+18,
1.89E+18,Sun Feb 23 06:27:44 +0000 2025,1,Program Makan Bergizi Gratis Dongkrak Ekonomi Lokal https://t.co/utbOgjdECO,1.89E+18,https://pbs.twimg.com/media/Gkc8H3pbgAAi1dR.jpg,,in,,0,0,0,https://x.com/undefined/status/1893548277032796469,1.66E+18,
1.89E+18,Sun Feb 23 06:25:58 +0000 2025,0,Oh skr uda tembus 20rb wkwk Makan bergizi gratis aja ga smp 20rb ajg tega bener,1.89E+18,,,in,,0,0,0,https://x.com/undefined/status/1893547833778937932,2999237821,
1.89E+18,Sun Feb 23 06:25:14 +0000 2025,0,@hexagrap_id Evaluasi ketat dari Program MBG memastikan makan bergizi gratis selalu berkualitas #MBGSelektifdanHigienis,1.89E+18,,hexagrap_id,in,,0,0,0,https://x.com/undefined/status/1893547648533114957,1.69E+18,
